StudentId,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,House
77,A,A,B,A,A,A,A,A,E,D,A,A,A,A,C,A,A,A,A,E,A,B,A,A,C,A,A,Gryffindor
78,A,A,B,A,A,A,A,A,E,D,A,A,A,B,A,A,A,A,A,A,D,A,A,B,A,C,A,Gryffindor
79,A,A,B,A,A,A,A,A,E,E,A,A,D,A,A,C,A,A,A,A,A,A,B,A,A,A,B,Gryffindor
80,A,A,B,A,A,A,A,A,E,A,G,A,A,B,A,A,A,A,A,A,C,A,B,A,A,A,B,Gryffindor
81,A,A,B,A,A,A,A,E,A,A,G,A,A,B,A,A,C,A,A,A,A,B,A,A,A,A,C,Gryffindor
82,A,A,B,A,A,A,A,E,A,A,G,A,A,C,A,A,D,A,A,A,A,B,A,A,A,B,A,Gryffindor
83,A,A,A,B,B,A,A,A,A,E,A,A,A,C,A,B,A,A,A,A,A,B,A,A,A,A,B,Gryffindor
84,A,A,A,B,B,A,A,A,A,E,A,A,A,H,A,A,A,E,A,A,A,B,A,A,A,C,A,Gryffindor
85,A,A,A,B,A,A,A,B,A,D,A,A,A,A,F,A,A,A,A,E,A,A,B,A,A,A,B,Gryffindor
86,A,A,A,B,A,A,A,B,A,A,A,D,D,A,A,A,A,A,B,A,A,A,A,B,A,A,B,Gryffindor
87,A,A,A,B,A,A,A,B,A,A,B,A,A,A,C,A,A,A,A,A,C,A,B,A,A,C,A,Gryffindor
88,A,A,A,B,A,A,A,B,A,A,B,A,A,A,C,A,A,A,A,A,C,B,A,A,A,A,B,Gryffindor
89,A,A,A,B,A,A,A,B,A,A,B,A,A,A,C,A,A,A,A,A,C,C,A,A,A,C,A,Gryffindor
90,A,A,A,B,A,A,A,B,A,A,B,A,A,A,C,A,A,E,A,A,A,A,A,B,C,A,A,Gryffindor
91,A,A,A,B,A,A,A,B,A,A,B,A,A,A,C,A,A,E,A,A,A,A,B,A,A,A,B,Gryffindor
92,A,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A,A,A,A,C,B,A,A,A,C,A,Gryffindor
93,A,A,A,B,A,A,A,B,A,A,C,A,A,A,C,A,A,A,A,E,A,A,B,A,A,C,A,Gryffindor
94,A,A,A,B,A,A,A,B,A,A,F,A,A,C,A,A,A,E,A,A,A,A,B,A,A,C,A,Gryffindor
95,A,A,A,B,A,A,A,B,A,A,F,A,A,A,F,A,A,A,A,A,D,A,A,B,C,A,A,Gryffindor
96,A,A,A,B,A,A,A,B,A,A,F,A,A,G,A,A,C,A,A,A,A,B,A,A,A,A,B,Gryffindor
97,A,A,A,B,A,A,A,B,A,A,G,A,A,B,A,A,A,A,A,A,C,A,B,A,C,A,A,Gryffindor
98,A,A,A,B,A,A,B,A,A,A,A,B,B,A,A,A,D,A,A,A,A,A,C,A,A,A,B,Gryffindor
99,A,A,A,B,A,A,B,A,A,A,A,D,A,A,E,A,A,E,A,A,A,A,A,B,A,A,B,Gryffindor
100,A,A,A,B,A,A,B,A,A,A,A,F,A,F,A,E,A,A,A,A,A,A,A,B,A,C,A,Gryffindor
101,A,A,A,B,A,A,B,A,A,A,F,A,A,A,H,A,A,C,A,A,A,A,C,A,A,A,B,Gryffindor
102,A,A,A,B,C,A,A,A,A,A,A,B,A,A,D,A,A,A,A,A,D,A,A,B,C,A,A,Gryffindor
103,A,A,A,B,C,A,A,A,A,A,A,C,A,A,C,A,A,A,B,A,A,A,A,B,C,A,A,Gryffindor
104,A,A,A,B,C,A,A,A,A,D,A,A,A,A,C,D,A,A,A,A,A,A,C,A,A,C,A,Gryffindor
105,A,A,A,B,C,A,A,A,A,D,A,A,A,B,A,A,A,A,A,A,C,B,A,A,C,A,A,Gryffindor
106,A,A,A,B,C,A,A,A,A,D,A,A,A,B,A,A,A,A,A,E,A,B,A,A,A,A,B,Gryffindor
107,A,A,A,B,C,A,A,A,A,D,A,A,B,A,A,D,A,A,A,A,A,A,B,A,C,A,A,Gryffindor
108,A,A,A,B,C,A,A,A,A,D,A,A,B,A,A,A,A,E,A,A,A,C,A,A,A,C,A,Gryffindor
109,A,A,A,B,C,A,A,A,A,D,A,A,C,A,A,A,A,D,A,A,A,A,A,B,A,C,A,Gryffindor
110,A,A,A,B,C,A,A,A,A,D,A,A,D,A,A,A,A,A,A,E,A,A,B,A,A,C,A,Gryffindor
111,A,A,A,B,C,A,A,A,A,D,A,A,D,A,A,D,A,A,A,A,A,A,C,A,A,C,A,Gryffindor
112,A,A,A,B,C,A,A,A,A,A,F,A,A,C,A,D,A,A,A,A,A,B,A,A,A,A,B,Gryffindor
113,A,A,A,B,C,A,A,A,A,A,F,A,A,C,A,A,E,A,A,A,A,A,B,A,A,A,C,Gryffindor
114,A,A,A,B,C,A,A,A,A,A,F,A,A,A,H,A,A,A,A,E,A,A,B,A,C,A,A,Gryffindor
115,A,A,A,B,C,A,A,A,A,A,G,A,A,A,C,A,A,A,C,A,A,A,A,B,A,B,A,Gryffindor
116,A,A,A,B,A,A,C,A,A,A,A,B,A,A,D,A,A,A,C,A,A,A,C,A,C,A,A,Gryffindor
117,A,A,A,B,A,A,D,A,A,A,A,B,D,A,A,A,B,A,A,A,A,B,A,A,C,A,A,Gryffindor
118,A,A,A,B,A,A,D,A,A,A,A,C,A,B,A,A,A,A,A,B,A,B,A,A,C,A,A,Gryffindor
119,A,A,A,B,A,A,D,A,A,A,A,D,A,B,A,A,A,D,A,A,A,A,A,B,A,A,B,Gryffindor
120,A,A,A,B,A,A,D,A,A,A,A,D,A,C,A,A,B,A,A,A,A,A,A,C,C,A,A,Gryffindor
121,A,A,A,B,A,A,D,A,A,D,A,A,B,A,A,D,A,A,A,A,A,B,A,A,A,A,B,Gryffindor
122,A,A,A,B,A,A,D,A,A,D,A,A,C,A,A,A,A,A,A,E,A,B,A,A,A,A,C,Gryffindor
123,A,A,A,B,A,A,D,A,A,D,A,A,D,A,A,A,A,A,A,A,C,A,B,A,C,A,A,Gryffindor
124,A,A,A,B,A,A,D,A,A,D,A,A,D,A,A,A,A,A,A,A,D,C,A,A,C,A,A,Gryffindor
125,A,A,A,B,A,A,D,A,A,E,A,A,D,A,A,A,A,D,A,A,A,A,B,A,A,C,A,Gryffindor
126,A,A,A,B,A,A,D,A,A,A,B,A,D,A,A,A,A,A,A,E,A,A,B,A,A,C,A,Gryffindor
127,A,A,A,B,A,A,D,A,A,A,C,A,D,A,A,A,A,A,A,B,A,A,A,C,C,A,A,Gryffindor
128,A,A,A,B,A,A,D,A,A,A,C,A,D,A,A,A,A,A,A,E,A,A,B,A,A,A,B,Gryffindor
129,A,A,A,B,A,A,D,A,A,A,C,A,D,A,A,A,E,A,A,A,A,B,A,A,C,A,A,Gryffindor
130,A,A,A,B,A,A,D,A,A,A,D,A,A,A,C,A,A,D,A,A,A,B,A,A,A,A,B,Gryffindor
131,A,A,A,B,A,A,D,A,A,A,D,A,A,B,A,A,A,E,A,A,A,C,A,A,A,A,B,Gryffindor
132,A,A,A,B,A,A,D,A,A,A,F,A,A,A,B,A,A,E,A,A,A,A,B,A,A,A,B,Gryffindor
133,A,A,A,B,A,A,D,A,A,A,F,A,B,A,A,A,A,A,A,E,A,A,A,C,C,A,A,Gryffindor
134,A,A,A,B,A,A,D,A,A,A,G,A,A,A,C,A,A,A,B,A,A,A,B,A,A,A,B,Gryffindor
135,A,A,A,B,A,A,D,A,A,A,G,A,A,A,C,A,A,A,B,A,A,C,A,A,C,A,A,Gryffindor
136,A,A,A,B,A,A,D,A,A,A,G,A,A,F,A,A,A,D,A,A,A,B,A,A,A,A,B,Gryffindor
137,A,A,A,B,A,B,A,A,A,D,A,A,B,A,A,D,A,A,A,A,A,B,A,A,C,A,A,Gryffindor
138,A,A,A,B,A,B,A,A,A,A,D,A,A,A,C,A,A,A,A,E,A,B,A,A,A,A,B,Gryffindor
139,A,A,A,B,A,B,A,A,A,A,G,A,A,A,G,A,A,A,A,A,C,A,A,B,A,A,B,Gryffindor
140,A,A,A,B,A,A,A,A,B,A,A,C,D,A,A,A,A,A,A,B,A,A,B,A,C,A,A,Gryffindor
141,A,A,A,B,A,A,A,A,B,A,E,A,C,A,A,A,A,A,A,A,C,A,A,B,C,A,A,Gryffindor
142,A,A,A,B,A,A,A,A,B,A,A,F,A,A,C,A,A,A,A,E,A,B,A,A,A,A,B,Gryffindor
143,A,A,A,B,A,A,A,A,B,A,G,A,D,A,A,D,A,A,A,A,A,A,A,B,C,A,A,Gryffindor
144,A,A,A,B,A,A,A,A,C,D,A,A,F,A,A,A,B,A,A,A,A,A,C,A,C,A,A,Gryffindor
145,A,A,A,B,A,A,A,A,D,D,A,A,A,B,A,A,A,A,A,A,C,A,B,A,C,A,A,Gryffindor
146,A,A,A,B,A,A,A,A,D,D,A,A,A,B,A,A,C,A,A,A,A,A,A,B,C,A,A,Gryffindor
147,A,A,A,B,A,A,A,A,D,D,A,A,C,A,A,A,A,A,A,A,D,C,A,A,A,A,B,Gryffindor
148,A,A,A,B,A,A,A,A,D,D,A,A,D,A,A,A,A,A,A,A,D,A,B,A,A,A,C,Gryffindor
149,A,A,A,B,A,A,A,A,D,D,A,A,D,A,A,A,E,A,A,A,A,B,A,A,A,A,C,Gryffindor
150,A,A,A,B,A,A,A,A,D,B,A,A,C,A,A,A,A,A,B,A,A,A,A,B,C,A,A,Gryffindor
151,A,A,A,B,A,A,A,A,D,C,A,A,A,C,A,D,A,A,A,A,A,C,A,A,A,A,B,Gryffindor
152,A,A,A,B,A,A,A,A,D,A,A,C,A,A,B,A,A,A,A,B,A,B,A,A,A,A,C,Gryffindor
153,A,A,A,B,A,A,A,A,D,A,A,C,A,A,D,A,A,A,A,B,A,C,A,A,C,A,A,Gryffindor
154,A,A,A,B,A,A,A,A,D,A,A,C,A,A,D,A,E,A,A,A,A,C,A,A,C,A,A,Gryffindor
155,A,A,A,B,A,A,A,A,D,A,A,C,A,F,A,A,A,A,A,B,A,A,B,A,A,C,A,Gryffindor
156,A,A,A,B,A,A,A,A,D,A,A,C,A,F,A,A,A,E,A,A,A,A,B,A,A,C,A,Gryffindor
157,A,A,A,B,A,A,A,A,D,A,B,A,D,A,A,E,A,A,A,A,A,A,B,A,A,C,A,Gryffindor
158,A,A,A,B,A,A,A,A,D,A,B,A,A,A,G,A,A,A,A,A,C,A,A,C,C,A,A,Gryffindor
159,A,A,A,B,A,A,A,A,D,A,C,A,A,B,A,A,A,A,B,A,A,A,A,B,A,B,A,Gryffindor
160,A,A,A,B,A,A,A,A,D,A,C,A,A,A,C,A,A,A,A,E,A,B,A,A,A,A,B,Gryffindor
161,A,A,A,B,A,A,A,A,D,A,A,F,A,A,D,A,A,D,A,A,A,C,A,A,C,A,A,Gryffindor
162,A,A,A,B,A,A,A,A,D,A,F,A,A,B,A,A,E,A,A,A,A,C,A,A,A,C,A,Gryffindor
163,A,A,A,B,A,A,A,A,D,A,G,A,A,A,B,C,A,A,A,A,A,A,A,B,A,A,C,Gryffindor
164,A,A,A,B,A,A,A,A,D,A,G,A,A,A,E,A,A,A,C,A,A,C,A,A,A,C,A,Gryffindor
165,A,A,A,B,A,A,A,C,A,A,F,A,A,C,A,A,B,A,A,A,A,A,C,A,A,B,A,Gryffindor
166,A,A,A,B,A,A,A,C,A,A,F,A,A,G,A,A,A,A,C,A,A,A,B,A,A,B,A,Gryffindor
167,A,A,A,B,D,A,A,A,A,D,A,A,A,A,B,D,A,A,A,A,A,B,A,A,A,A,B,Gryffindor
168,A,A,A,B,D,A,A,A,A,D,A,A,A,A,C,A,A,E,A,A,A,C,A,A,A,C,A,Gryffindor
169,A,A,A,B,D,A,A,A,A,D,A,A,A,A,D,C,A,A,A,A,A,A,A,C,C,A,A,Gryffindor
170,A,A,A,B,D,A,A,A,A,D,A,A,A,H,A,A,B,A,A,A,A,B,A,A,A,C,A,Gryffindor
171,A,A,A,B,D,A,A,A,A,A,A,E,C,A,A,A,A,A,C,A,A,A,C,A,A,C,A,Gryffindor
172,A,A,A,B,D,A,A,A,A,A,D,A,C,A,A,A,A,A,A,E,A,A,B,A,A,C,A,Gryffindor
173,A,A,A,B,D,A,A,A,A,A,D,A,D,A,A,A,A,A,A,A,C,A,A,B,A,C,A,Gryffindor
174,A,A,A,B,D,A,A,A,A,A,A,F,B,A,A,D,A,A,A,A,A,A,A,C,A,A,C,Gryffindor
175,A,A,A,B,D,A,A,A,A,A,F,A,A,C,A,D,A,A,A,A,A,B,A,A,A,A,C,Gryffindor
176,A,A,A,B,A,A,E,A,A,A,A,B,A,C,A,A,A,A,A,E,A,B,A,A,A,A,B,Gryffindor
177,A,A,A,B,A,A,E,A,A,A,A,C,A,C,A,D,A,A,A,A,A,A,B,A,A,A,B,Gryffindor
178,A,A,A,B,A,A,E,A,A,A,F,A,C,A,A,A,A,A,A,E,A,B,A,A,B,A,A,Gryffindor
179,A,A,A,B,A,A,E,A,A,A,F,A,A,C,A,D,A,A,A,A,A,A,B,A,A,A,B,Gryffindor
180,A,A,A,B,A,A,E,A,A,A,G,A,A,C,A,D,A,A,A,A,A,A,B,A,A,A,B,Gryffindor
181,A,A,A,B,A,C,A,A,A,A,A,C,A,A,C,A,A,A,A,E,A,C,A,A,C,A,A,Gryffindor
182,A,A,A,B,A,C,A,A,A,A,A,C,A,A,D,A,A,A,A,E,A,A,A,B,A,A,C,Gryffindor
183,A,A,A,B,A,C,A,A,A,A,A,C,A,B,A,A,A,E,A,A,A,B,A,A,A,A,B,Gryffindor
184,A,A,A,B,A,C,A,A,A,A,B,A,D,A,A,A,A,D,A,A,A,B,A,A,A,A,B,Gryffindor
185,A,A,A,B,A,C,A,A,A,A,E,A,C,A,A,D,A,A,A,A,A,B,A,A,A,A,C,Gryffindor
186,A,A,A,B,A,C,A,A,A,A,F,A,C,A,A,A,B,A,A,A,A,B,A,A,A,B,A,Gryffindor
187,A,A,A,B,A,C,A,A,A,A,F,A,D,A,A,A,A,A,A,B,A,A,B,A,A,C,A,Gryffindor
188,A,A,A,B,A,C,A,A,A,A,F,A,D,A,A,A,A,D,A,A,A,A,B,A,C,A,A,Gryffindor
189,A,A,A,B,A,C,A,A,A,G,A,A,D,A,A,A,A,E,A,A,A,B,A,A,C,A,A,Gryffindor
190,A,A,A,B,A,C,A,A,A,A,G,A,A,A,C,A,E,A,A,A,A,A,B,A,A,A,B,Gryffindor
191,A,A,A,B,A,C,A,A,A,A,G,A,B,A,A,D,A,A,A,A,A,B,A,A,A,A,B,Gryffindor
192,A,A,A,B,E,A,A,A,A,A,A,C,A,A,C,A,A,A,B,A,A,A,B,A,C,A,A,Gryffindor
193,A,A,A,B,E,A,A,A,A,A,A,C,F,A,A,A,A,A,A,A,C,A,A,B,A,B,A,Gryffindor
194,A,A,A,B,E,A,A,A,A,D,A,A,C,A,A,B,A,A,A,A,A,A,C,A,A,C,A,Gryffindor
195,A,A,A,B,E,A,A,A,A,D,A,A,A,E,A,A,A,A,A,A,C,A,A,B,A,A,B,Gryffindor
196,A,A,A,B,A,D,A,A,A,A,D,A,D,A,A,A,A,A,A,A,C,B,A,A,A,C,A,Gryffindor
197,A,A,A,B,A,D,A,A,A,A,D,A,A,A,H,D,A,A,A,A,A,B,A,A,A,C,A,Gryffindor
198,A,A,A,B,A,D,A,A,A,A,A,F,B,A,A,A,E,A,A,A,A,C,A,A,A,A,C,Gryffindor
199,A,A,A,B,A,D,A,A,A,A,G,A,A,A,D,A,A,A,A,A,C,A,B,A,A,B,A,Gryffindor
200,A,A,A,B,A,E,A,A,A,A,A,C,A,A,D,A,E,A,A,A,A,B,A,A,A,B,A,Gryffindor
201,A,A,A,B,A,E,A,A,A,A,A,C,A,A,E,A,A,A,E,A,A,A,C,A,A,C,A,Gryffindor
202,A,A,A,B,A,E,A,A,A,D,A,A,A,A,E,A,A,A,C,A,A,B,A,A,C,A,A,Gryffindor
203,A,A,A,B,A,E,A,A,A,E,A,A,A,A,D,A,A,A,A,E,A,A,A,B,A,A,C,Gryffindor
204,A,A,A,B,A,E,A,A,A,A,E,A,C,A,A,A,A,A,D,A,A,B,A,A,C,A,A,Gryffindor
205,A,A,A,B,A,E,A,A,A,A,E,A,D,A,A,A,A,A,A,E,A,B,A,A,A,C,A,Gryffindor
206,A,A,A,B,A,E,A,A,A,G,A,A,D,A,A,A,A,A,A,E,A,B,A,A,A,A,B,Gryffindor
207,A,A,A,B,A,A,A,A,E,D,A,A,A,E,A,A,E,A,A,A,A,B,A,A,C,A,A,Gryffindor
208,A,A,A,B,A,A,A,A,E,D,A,A,F,A,A,A,A,A,A,B,A,B,A,A,A,A,B,Gryffindor
209,A,A,A,B,A,A,A,A,E,A,C,A,D,A,A,A,A,D,A,A,A,A,A,B,C,A,A,Gryffindor
210,A,A,A,B,A,A,A,D,A,A,A,C,A,C,A,A,A,A,D,A,A,A,C,A,A,A,B,Gryffindor
211,A,A,A,B,A,A,A,D,A,D,A,A,A,A,B,A,E,A,A,A,A,B,A,A,A,A,B,Gryffindor
212,A,A,A,B,A,A,A,D,A,D,A,A,A,A,D,A,A,A,E,A,A,B,A,A,A,C,A,Gryffindor
213,A,A,A,B,A,A,A,D,A,D,A,A,C,A,A,A,A,A,A,A,B,A,B,A,C,A,A,Gryffindor
214,A,A,A,B,A,A,A,D,A,D,A,A,A,G,A,A,A,E,A,A,A,A,B,A,C,A,A,Gryffindor
215,A,A,A,B,A,A,A,D,A,E,A,A,A,A,D,A,A,A,B,A,A,A,B,A,C,A,A,Gryffindor
216,A,A,A,B,A,A,A,D,A,A,D,A,D,A,A,A,A,A,A,A,C,A,B,A,A,C,A,Gryffindor
217,A,A,A,B,A,A,A,D,A,A,G,A,A,A,C,A,A,E,A,A,A,A,B,A,A,A,B,Gryffindor
218,A,A,A,B,A,A,A,E,A,A,A,C,A,C,A,D,A,A,A,A,A,A,B,A,C,A,A,Gryffindor
219,B,A,A,A,B,A,A,A,A,A,A,C,F,A,A,A,A,A,A,A,C,A,B,A,A,C,A,Gryffindor
